Source,Target,Type,Id,Label,Weight,Color
207647787,178515840,Directed,14,,1,"#c0c0c0"
179268503,800456497,Directed,15,,1,"#c0c0c0"
800456497,179268503,Directed,16,,1,"#c0c0c0"
14930209,92513586,Directed,17,,1,"#c0c0c0"
364700471,692888650,Directed,18,,1,"#c0c0c0"
123240657,108825983,Directed,19,,1,"#c0c0c0"
692888650,364700471,Directed,20,,1,"#c0c0c0"
692888650,445909836,Directed,21,,1,"#c0c0c0"
135170473,835977340,Directed,22,,1,"#c0c0c0"
445909836,692888650,Directed,23,,1,"#c0c0c0"
178515840,207647787,Directed,24,,1,"#c0c0c0"
835977340,135170473,Directed,25,,1,"#c0c0c0"
92513586,14930209,Directed,26,,1,"#c0c0c0"
108825983,123240657,Directed,27,,1,"#c0c0c0"
